Date;fer;vac;tourn;tempMoy;tempMax;tempMin;wind;rain;nbPlay;open;nbCov
01/01/2017;1;1;0;-2,365;-0,18;-4,55;2,31;0;0;True;65
02/01/2017;0;1;0;0,94;2,06;-0,18;2,19;0;0;False;0
03/01/2017;0;0;0;0,16;0,75;-0,43;2,63;0;0;True;42
04/01/2017;0;0;0;2,44;5,21;-0,33;4,31;1;0;True;43
05/01/2017;0;0;0;2,755;5,71;-0,2;3,04;0;0;True;74
06/01/2017;0;0;0;-1,47;1,69;-4,63;2,14;0;0;True;74
07/01/2017;0;0;0;-1,68;1,97;-5,33;2,63;1;0;True;127
08/01/2017;0;0;0;4,655;7,34;1,97;1,52;0;0;True;144
09/01/2017;0;0;0;6,115;7,45;4,78;4,64;1;0;False;0
10/01/2017;0;0;0;5,1;7,23;2,97;4,64;1;0;True;112
11/01/2017;0;0;0;7,295;10,19;4,4;7,9;1;0;True;82
12/01/2017;0;0;0;5,95;7,82;4,08;17,46;1;0;True;56
13/01/2017;0;0;0;3,005;5,01;1;14,19;0;0;True;102
14/01/2017;0;0;0;2,12;4,33;-0,09;3,83;0;69;True;136
15/01/2017;0;0;0;1,025;2,9;-0,85;2,73;1;4;True;159
16/01/2017;0;0;0;1,49;2,98;0;2,8;0;0;False;0
17/01/2017;0;0;0;-1,53;0;-3,06;5;0;0;True;84
18/01/2017;0;0;0;-1,79;0,59;-4,17;5,35;0;0;True;59
19/01/2017;0;0;0;-1,92;0,46;-4,3;4,23;0;56;True;112
20/01/2017;0;0;0;-2,105;0,76;-4,97;3,92;0;0;True;58
21/01/2017;0;0;0;-2,47;2,27;-7,21;1,73;0;0;True;87
22/01/2017;0;0;0;-0,785;4,9;-6,47;1,71;0;0;True;194
23/01/2017;0;0;0;-1,895;0,13;-3,92;2,29;0;0;False;0
24/01/2017;0;0;0;-1,21;1,1;-3,52;2,17;0;8;True;69
25/01/2017;0;0;0;-2,04;-0,14;-3,94;3,46;0;0;True;98
26/01/2017;0;0;0;-1,485;2,5;-5,47;3,95;0;0;True;89
27/01/2017;0;0;0;3,34;8,24;-1,56;4,37;0;51;True;83
28/01/2017;0;0;0;6,225;8,97;3,48;4,22;0;0;True;123
29/01/2017;0;0;0;4,79;6,98;2,6;3,7;0;0;True;217
30/01/2017;0;0;0;8,78;10,72;6,84;4,53;1;0;False;0
31/01/2017;0;0;0;10,775;12,25;9,3;2,92;1;0;True;83
01/02/2017;0;0;0;10,03;11,81;8,25;3,82;0;36;True;83
02/02/2017;0;0;0;9,675;12,27;7,08;5,97;0;0;True;88
03/02/2017;0;0;0;8,52;10,8;6,24;9,68;1;0;True;85
04/02/2017;0;1;0;5,38;7;3,76;8,54;1;8;True;90
05/02/2017;0;1;0;7,585;10,63;4,54;6,48;1;0;True;117
06/02/2017;0;1;0;6,47;8,44;4,5;6,48;0;0;False;0
07/02/2017;0;1;0;6,96;10,59;3,33;4,43;1;0;True;71
08/02/2017;0;1;0;4,97;7,42;2,52;4,12;0;0;True;61
09/02/2017;0;1;0;3,18;5,08;1,28;3,63;0;0;True;69
10/02/2017;0;1;0;1,055;2,45;-0,34;3,67;0;0;True;35
11/02/2017;0;1;0;-0,32;0,59;-1,23;1,92;0;0;True;69
12/02/2017;0;1;0;3,5;7,34;-0,34;4,07;0;0;True;82
13/02/2017;0;1;0;5,995;9,69;2,3;5,72;0;0;False;0
14/02/2017;0;1;0;8,025;12,54;3,51;3,74;0;0;True;110
15/02/2017;0;1;0;10,995;16,02;5,97;4,86;0;0;True;71
16/02/2017;0;1;0;9,16;12,65;5,67;1,58;1;0;True;62
17/02/2017;0;1;0;6,55;10,48;2,62;1,7;0;0;True;50
18/02/2017;0;1;0;6,33;11,3;1,36;2,32;0;0;True;133
19/02/2017;0;1;0;5,1;11,35;-1,15;3,4;0;0;True;151
20/02/2017;0;0;0;9,435;11,36;7,51;4,71;0;0;False;0
21/02/2017;0;0;0;11,015;12,18;9,85;5,16;0;0;True;94
22/02/2017;0;0;0;10,79;11,81;9,77;6,8;0;0;True;91
23/02/2017;0;0;0;9,435;11,52;7,35;13,22;0;72;True;133
24/02/2017;0;0;0;4,47;8,6;0,34;5,17;0;0;True;110
25/02/2017;0;0;0;4,715;11,26;-1,83;4,85;0;29;True;184
26/02/2017;0;0;0;8,805;11,95;5,66;5,77;0;0;True;281
27/02/2017;0;0;0;7,98;11,4;4,56;14,42;1;0;False;0
28/02/2017;0;0;0;6,21;8,35;4,07;9,33;1;0;True;81
01/03/2017;0;0;0;8,34;11,04;5,64;10,01;1;0;True;60
02/03/2017;0;0;0;8,475;11,86;5,09;8,4;0;0;True;97
03/03/2017;0;0;0;9,97;14,72;5,22;3,84;0;0;True;72
04/03/2017;0;0;0;9,215;12,1;6,33;3,96;1;96;True;116
05/03/2017;0;0;0;6,745;9,24;4,25;12,31;1;0;True;123
06/03/2017;0;0;0;5,59;7,3;3,88;6,54;1;0;False;0
07/03/2017;0;0;0;7,065;9,6;4,53;4,75;0;0;True;112
08/03/2017;0;0;0;8,945;13,16;4,73;6,09;1;24;True;79
09/03/2017;0;0;0;11,41;13,72;9,1;4,48;0;0;True;88
10/03/2017;0;0;0;7,62;10,83;4,41;2,33;0;70;True;101
11/03/2017;0;0;0;9,615;17,03;2,2;2,45;0;64;True;180
12/03/2017;0;0;0;10,81;16,94;4,68;4,86;0;53;True;236
13/03/2017;0;0;0;10,36;14,76;5,96;4,71;0;0;False;0
14/03/2017;0;0;0;8,995;14,95;3,04;4,41;1;60;True;138
15/03/2017;0;0;0;11,075;14,8;7,35;2,99;0;16;True;122
16/03/2017;0;0;0;11,86;20,16;3,56;2,65;0;0;True;156
17/03/2017;0;0;0;10,12;13,13;7,11;4,54;1;0;True;89
18/03/2017;0;0;0;10,2;13,67;6,73;8,61;0;84;True;97
19/03/2017;0;0;0;11,915;13,23;10,6;5,55;0;0;True;216
20/03/2017;0;0;0;10,655;11,85;9,46;6,77;0;0;False;0
21/03/2017;0;0;0;7,77;10,56;4,98;6,08;0;0;True;105
22/03/2017;0;0;0;8,085;12,19;3,98;6,31;0;20;True;72
23/03/2017;0;0;0;9,055;12,82;5,29;4,2;0;14;True;128
24/03/2017;0;0;0;10,225;13,26;7,19;4,62;0;22;True;124
25/03/2017;0;0;0;12,435;18,13;6,74;10,57;0;101;True;303
26/03/2017;0;0;0;11,92;17,51;6,33;3,9;0;112;True;245
27/03/2017;0;0;0;11,6;18,52;4,68;4,2;0;0;False;0
28/03/2017;0;0;0;11,71;17,87;5,55;4,89;0;119;True;190
29/03/2017;0;0;0;13,295;20,08;6,51;3,6;0;26;True;112
30/03/2017;0;0;0;15,65;22,95;8,35;4,8;0;0;True;168
31/03/2017;0;0;0;14,91;17,74;12,08;5,55;0;0;True;68
01/04/2017;0;1;0;12,495;16,48;8,51;4,26;0;16;True;156
02/04/2017;0;1;0;11,8;17,33;6,27;3,53;0;74;True;208
03/04/2017;0;1;0;12,35;19,25;5,45;3,2;0;52;False;0
04/04/2017;0;1;0;11,615;16,61;6,62;4,78;0;0;True;103
05/04/2017;0;1;0;11,41;14,98;7,84;6,83;0;39;True;64
06/04/2017;0;1;1;9,665;13,94;5,39;6,54;0;8;True;73
07/04/2017;0;1;1;10,42;18,2;2,64;3,34;0;0;True;107
08/04/2017;0;1;1;13,055;20,79;5,32;3,13;0;0;True;109
09/04/2017;0;1;1;15,045;24,93;5,16;2,45;0;90;True;144
10/04/2017;0;1;0;12,155;15,89;8,42;4,69;0;0;True;158
11/04/2017;0;1;0;10,445;16,3;4,59;4,25;0;0;True;157
12/04/2017;0;1;0;10,955;18,61;3,3;6,07;0;0;True;165
13/04/2017;0;1;0;11,06;15,09;7,03;3,41;0;0;False;0
14/04/2017;0;1;0;12,685;16,32;9,05;3,97;0;9;False;0
15/04/2017;0;1;0;10,98;14,87;7,09;4,52;0;0;True;139
16/04/2017;0;1;0;9,52;13,36;5,68;4,03;0;21;True;140
17/04/2017;1;1;0;9,54;12,33;6,75;6,09;0;0;True;182
18/04/2017;0;0;0;6,64;11,02;2,26;6,36;0;0;False;0
19/04/2017;0;0;0;6,285;10,91;1,66;7,34;0;10;True;98
20/04/2017;0;0;0;5,98;12,74;-0,78;3,73;0;0;True;99
21/04/2017;0;0;1;9,125;17,78;0,47;2,4;0;37;True;129
22/04/2017;0;0;1;11,19;15,59;6,79;3,5;0;112;True;195
23/04/2017;0;0;1;8,26;14,12;2,4;4,78;0;107;True;227
24/04/2017;0;0;1;9,465;17,4;1,53;3,1;0;142;True;49
25/04/2017;0;0;0;8,01;10,39;5,63;4,16;0;4;True;149
26/04/2017;0;0;0;4,985;8,82;1,15;4,68;0;0;True;137
27/04/2017;0;0;0;5,635;10,64;0,63;10,28;0;0;True;160
28/04/2017;0;0;0;8,01;12,97;3,05;3,37;1;0;True;153
29/04/2017;0;0;0;9,405;16,16;2,65;4,24;0;0;True;300
30/04/2017;0;0;0;11,98;17,87;6,09;9,73;1;0;True;267
01/05/2017;1;0;0;11,09;15,12;7,06;8,88;1;0;True;215
02/05/2017;0;0;0;11,52;15,91;7,13;3,29;0;0;False;0
03/05/2017;0;0;0;9,78;10,97;8,59;2,45;1;17;True;55
04/05/2017;0;0;0;11,355;15,51;7,2;4;0;0;True;69
05/05/2017;0;0;0;12,48;17,61;7,35;4,63;1;34;True;133
06/05/2017;0;0;0;12,015;13,12;10,91;3,47;1;60;True;99
07/05/2017;0;0;0;11,28;13,44;9,12;3,87;1;63;True;190
08/05/2017;1;0;0;10,06;11,6;8,52;4,88;0;125;True;202
09/05/2017;0;0;0;10,785;16,44;5,13;5,18;0;0;False;0
10/05/2017;0;0;0;12,75;21,04;4,46;4,69;0;16;True;146
11/05/2017;0;0;1;16,07;19,7;12,44;4,51;1;44;True;85
12/05/2017;0;0;1;15,625;20,47;10,78;4,44;0;84;True;143
13/05/2017;0;0;1;14,905;19,06;10,75;4,7;0;115;True;151
14/05/2017;0;0;1;15,205;19,47;10,94;4,61;1;0;True;193
15/05/2017;0;0;0;16,925;23,95;9,9;3,76;0;0;False;0
16/05/2017;0;0;0;20,895;27,32;14,47;4,84;0;0;True;123
17/05/2017;0;0;0;21,79;28,19;15,39;6,2;1;12;True;112
18/05/2017;0;0;0;15,4;20,67;10,13;6,29;1;26;True;71
19/05/2017;0;0;0;11,96;15,41;8,51;5,5;1;71;True;115
20/05/2017;0;0;0;11,815;17,43;6,2;4,34;0;44;True;196
21/05/2017;0;0;0;14,105;21,21;7;3,78;0;0;True;296
22/05/2017;0;0;0;17,93;25,26;10,6;3,78;0;0;False;0
23/05/2017;0;0;0;18,695;23,88;13,51;4,22;0;0;True;101
24/05/2017;0;0;0;18,805;23,37;14,24;3,01;0;18;True;68
25/05/2017;1;0;0;20,31;26,3;14,32;4,96;0;0;True;165
26/05/2017;0;0;0;21,275;27,6;14,95;5,7;0;122;True;138
27/05/2017;0;0;0;23,17;29,82;16,52;3,4;0;0;True;196
28/05/2017;0;0;0;23,765;30,75;16,78;2,8;1;0;True;196
29/05/2017;0;0;0;23,39;28,09;18,69;4,37;0;0;False;0
30/05/2017;0;0;0;18,76;21,86;15,66;3,99;0;0;True;93
31/05/2017;0;0;0;17,405;23,91;10,9;3,28;0;36;True;93
01/06/2017;0;0;0;20,475;27,18;13,77;3,01;0;46;True;134
02/06/2017;0;0;0;21,845;26,8;16,89;4,76;0;0;True;98
03/06/2017;0;0;0;15,84;19,66;12,02;3,5;1;90;True;102
04/06/2017;0;0;0;13,995;19,64;8,35;3,3;1;96;True;202
05/06/2017;1;0;0;16,77;22,69;10,85;6,22;1;148;True;191
06/06/2017;0;0;0;14,345;17,31;11,38;11,69;1;76;False;0
07/06/2017;0;0;0;14,555;19,42;9,69;5,78;0;24;True;104
